timestamp,county,callsign
2025-10-18 1406,ORA,N0HJZ
2025-10-18 1406,ROC,N0HJZ
2025-10-18 1406,SAR,N0LY
2025-10-18 1406,CHA,KX2NY
2025-10-18 1406,CAT,KX2NY
2025-10-18 1406,ONO,KX2NY
2025-10-18 1406,STL,KR2AA
2025-10-18 1406,YAT,KR4AE
2025-10-18 1406,MAD,KS2G
2025-10-18 1406,SCO,KS2G
2025-10-18 1406,ULS,KO8SCA
2025-10-18 1406,MON,KQ3F
2025-10-18 1406,STE,KI6OY
2025-10-18 1406,DUT,KD2EFR
2025-10-18 1406,SEN,KC2KDD
2025-10-18 1406,FRA,K9PW
2025-10-18 1406,STE,K9PW
2025-10-18 1406,ORA,K9CW
2025-10-18 1406,FRA,K8MR
2025-10-18 1406,SAR,K5CM
2025-10-18 1406,ERI,K4RUM
2025-10-18 1406,MON,K4RUM
2025-10-18 1406,FRA,K4FTO
2025-10-18 1406,ERI,K2ZR
2025-10-18 1406,SUF,K2SSS
2025-10-18 1406,NIA,K2XA
2025-10-18 1406,OSW,K3GHH/2
2025-10-18 1406,ERI,K2MN
2025-10-18 1406,ONO,K2DJF
2025-10-18 1406,STE,K0UU
2025-10-18 1406,ONO,K1BZ
2025-10-18 1406,WAR,K1BZ
2025-10-18 1406,NIA,AA2ZW
2025-10-18 1406,ERI,AA2ZW
2025-10-18 1406,STE,AA3R
2025-10-18 1406,NAS,AD2TM
2025-10-18 1406,STL,AC2RL
2025-10-18 1407,SCH,WW2Y
2025-10-18 1407,MTG,WW2Y
2025-10-18 1407,ULS,WD8RYC
2025-10-18 1407,ERI,WB9HFK
2025-10-18 1407,ERI,WB2AMN
2025-10-18 1407,ERI,WA3INC
2025-10-18 1407,ESS,W9QL
2025-10-18 1407,OTS,WA0MHJ
2025-10-18 1407,LIV,W2TZ
2025-10-18 1407,CHA,W2QCY
2025-10-18 1407,CAT,W2GDJ
2025-10-18 1407,ERI,W2GR
2025-10-18 1407,ERI,VE3OMV
